B tv 내 배너 규격 및 특성,,,,,,,,,
,,,,,,,,,
POC,배너 명,배너 특징,장점,단점,텍스트 규격,편성 가능 영역,Target,sw_version,랜딩 기능
POC 식별자,복수면 콤마 구분,,,,,편성 가능 영역,타겟팅 가능 여부,소프트웨어 버전,배너 선택시 이동가능한 채널
B tv,시놉시스 배너,특정 콘텐츠 시놉시스 내 편성할 수 있는 배너,"1. 타이틀과 연관된 이벤트를 하는 경우
2. 복수 타이틀에 동일한 시놉배너 편성 가능
3. 타이틀에 시놉배너 편성 시 Today B tv 내 해당 타이틀이 노출되면 시놉배너가 함께 노출됨
(MASS 편성 5.4.3 이상, Target 편성 5.5.1 이상)",1. 영역이 작음,"1. 최대 2줄
2. 텍스트: 8자","콘텐츠 시놉시스, 홈 내 Today B tv 배너",가능,5.3.x 이상,"TV팝업, 시놉시스, 메뉴, TV앱, 채널, 구매창, 나의 이용권 등
쿠폰받기(UI 5.4.2 이상)"
B tv,띠배너,"프리뷰가 없고, 가로 전체 면적을 차지하여 작은 영역에서도 고객의 시선을 잡기 좋고 텍스트 위주로 후킹할 수 있는 가로 띠배너","1. Today B tv 바로 밑 편성 가능해 실시간 홈 사용자도 첫 화면에 노출 가능
2. 프리뷰가 필요할 정도로 설명할 내용이 많지 않은 경우",1. 텍스트 위주로 후킹해야 함,"1. 최대 2줄
2. 텍스트: 최대 25자",ALL,가능,5.4.1 이상,"TV팝업, 시놉시스, 메뉴, TV앱, 채널, 구매창, 나의 이용권 등"
B tv,풀프로모션배너,"B tv 내 전면(100% 영역) 활용 노출할 수 있는 배너로, 중요도가 높은 시즈널 프로모션, 월정액 MASS 프로모션 등에서 주로 사용함. 배경+배너 3개를 세트로 구성해야 함","1. 백그라운드 배경 전면을 활용해 프로모션 이미지를 강조할 수 있음
2. 배경 내 3~4줄 및 각 배너 내 1~2줄 프로모션 내용 기재 가능
3. 배너와 배경을 활용해 다양한 디자인 가능",1. 상하 편성 블록이 아예 보이지 않음,"(배경)
1. 최대 5줄(로고+메인 텍스트 1줄+서브 텍스트 3줄)
2. 로고: 최대 20자
3. 메인 텍스트: 40자
4. 서브 텍스트: 68자

(배너)
총 3개 구성, 각 배너 당 최대 2줄, 1줄 내 10자 이내",ALL,가능,5.3.4 이상,"TV팝업, 시놉시스, 메뉴, TV앱, 채널, 구매창, 나의 이용권 등"
B tv,빅배너,"특정 GNB의 최상단에만 편성할 수 있는 좌 텍스트, 우 이미지로 구성된 배너",1. UI 530~540은 홈 최상단에 빅배너가 편성되어 메인 노출 가능,,"1. 최대 3줄(로고+텍스트 2줄)
2. 텍스트: 최대 19자",홈,가능,5.3.0~5.4.0,"TV팝업, 시놉시스, 메뉴, TV앱, 채널, 구매창, 나의 이용권 등"
B tv,빅배너,"특정 GNB의 최상단에만 편성할 수 있는 좌 텍스트, 우 이미지로 구성된 배너","1. 영화, TV 다시보기, 애니 GNB의 최상단에 편성할 수 있음",,"1. 최대 3줄(로고+텍스트 2줄)
2. 텍스트: 최대 19자",영화/애니/방송,가능,5.3.0 이상,"TV팝업, 시놉시스, 메뉴, TV앱, 채널, 구매창, 나의 이용권 등"
B tv,롱배너,이미지 영역이 대부분인 세로로 긴 배너,"1. 콘텐츠 타이틀 등 이미지 위주로 마케팅하는 경우 유용함
2. 홈 내 이벤트 롱배너 영역 내 편성하고 싶은 경우 유용함",1. 텍스트 영역이 작음,"1. 상단 텍스트: 최대 17자
2. 하단 텍스트: 최대 12자",ALL,가능,5.3.4 이상,"TV팝업, 시놉시스, 메뉴, TV앱, 채널, 구매창, 나의 이용권 등"
B tv,월정액 가입 빅배너,월정액 별 GNB에서 월정액 미가입자 대상 가입하기 버튼 위 노출되는 배너,1. 특정 월정액 미가입자 대상 이벤트 진행 시 가입하기 버튼에서 보이는 쿠폰 반영 최저가 가격을 활용해 직접적인 마케팅 가능,1. 별도 랜딩 없이 구매창으로 이동하기 때문에 전달 가능한 정보가 적음,"1. 최대 3줄(로고+텍스트 2줄)
2. 텍스트: 최대 19자","Btv+, 지상파3사, CJ ENM, JTBC, MBN, TV조선, ",가능,5.4.1 이상,바로가기 없음
B tv,Today B tv,B tv의 첫 화면의 80% 이상을 차지하는 메인 배너로 중요한 이벤트인 경우 1순위 제작,"1. 이미지를 전면으로 노출할 수 있어 첫 화면에서 강조하기 좋음
2. TV를 켜자마자 첫 화면에서 이미지를 노출할 수 있어 효율이 가장 높음","1. UI 541 이상 편성 가능하나, 541/ 542 / 561 이상 UI가 상이하여 별도 이미지 제작 필요
2. 이미지 제작 가이드가 엄격하여 제작 소요 기간이 긺","1. 최대 3줄(로고+텍스트 2줄)
2. 로고: 최대 9자
3. 텍스트: 최대 20자",홈,가능,5.4.1 이상,"TV팝업, 시놉시스, 메뉴, TV앱, 채널, 구매창, 나의 이용권 등"
B tv,2단배너,"B tv의 가장 기본적인 유형의 배너로, 콘텐츠 블록 앞/뒤에 편성하거나, 배너를 모아 이벤트블록 형태로 편성할 수 있음. 구성의 자유도가 높고, 커버하는 UI가 가장 넓음","1. 콘텐츠와 함께 노출하여 콘텐츠 연관 마케팅을 하기 좋음
2. 1~3단 배너로 이벤트블록을 자유롭게 구성할 수 있음(이벤트 블록은 디자인도 자유롭게 가능)
3. 각 gnb 내 상단 콘텐츠 블록에 배너를 노출하고 싶은 경우(편성 위치를 더욱 유리하게 할당받을 수 있음)
4. 좌 프리뷰, 우 프리뷰, 배너로 3단으로 구성되어 이벤트를 설명할 수 있는 영역이 많음
5. 대부분의 UI에서 작동하여 UI 커버리지가 넓음",1. 가장 평이한 스타일로 가이드에 맞춰 디자인하면 주목도가 낮음,"(좌 프리뷰)
1. 최대 7줄(로고+메인 텍스트 4줄+서브 텍스트 2줄)
2. 텍스트: 최대 20자

(배너)
1. 최대 3줄
2. 텍스트: 최대 8자 ",ALL,가능,ALL,"TV팝업, 시놉시스, 메뉴, TV앱, 채널, 구매창, 나의 이용권 등"
B tv,TV 팝업,"배너에서 랜딩하거나, TV를 켜자마자 단독 노출할 수 있는 팝업으로 원하는 형태로 개발할 수 있어 기획의 자유도가 높음.","1. 특정 타겟 대상 B tv를 켜자마자 전면에 TV팝업을 강제 노출하고 싶은 경우
2. 배너에서 TV팝업으로 랜딩해서 추가로 정보를 설명하고 싶은 경우
3. 템플릿이 없는 프로모션으로 별도 개발하여 진행해야 하는 경우","1. 개발 시 개발소요기간이 약 2주로 꽤 긴 편
2. 개발 시 하위 UI는 작동하지 않는 경우가 많아 프로모션의 타겟이 줄어들 수 있음","1. 이미지 사이즈
- Legacy/Smart: 587x366
- UHD: 1175x733

2. 버튼 규격
- 최소 1개부터 3개까지 노출 가능
- 텍스트: 2~9자(띄어쓰기 포함)",배너/단독,가능,5.3.2 이상,"일반 TV팝업: 시놉시스, 메뉴, 채널 바로가기 / 구매창 바로가기 / 모바일 Btv 페어링하기 등
개발 TV팝업: 바로가기, 응모하기, 가입하기, 휴대폰번호입력하면 문자 발송하기 등
(단 랜딩 기능 별로 사용 가능한 UI 버전 상이함. 
Ex. 바로가기 기능: 5.1.3 이상 가능하나 HD 셋탑과 UI 5.2.0 미지원,
응모하기 기능: HD 셋탑 지원하나 5.3.2 이상, 가입하기: 5.4.1 이상 등)"
B tv,미니 EPG 배너,실시간 채널 별 하단의 EPG 영역에 뜨는 작은 배너,"1. 실시간 채널 이용자에게 노출되어 실시간 타겟을 대상으로 하는 경우 용이함
2. 각 채널별 배너를 다르게 설정 가능하여, 특정 채널과 연관된 프로모션 하는 경우 추천
3. 카피 영역이 작아, 타이틀 프로모션 등에서 용이하며, [바로가기] 등 CTA 버튼을 넣는 게 유리함","1. 카피 영역이 매우 작음
2. 타겟팅 불가",1. 텍스트: 최대 5자,실시간 채널 내 미니 EPG,불가,5.5.2 이상,"시놉시스. TV팝업, 메뉴(1depth)"
B tv,편성표 배너,실시간 채널 내 편성표 진입 시 노출되는 가로 배너,"1. 실시간 채널 이용자에게 노출되어 실시간 타겟을 대상으로 하는 경우 용이함
2. 편성표에서 지나치지 않도록, [바로가기] 등 CTA 버튼을 넣는 게 유리함",1. 타겟팅 불가,"1. 최대 2줄(메인 텍스트+서브 텍스트)
2. 메인 텍스트: 최대 13자
3. 서브 텍스트: 최대 20자",실시간 채널 내 편성표,불가,5.5.2 이상,"시놉시스. TV팝업, 메뉴(1depth)"
B tv,WING UI 배너,실시간 채널 시청 중 좌우 키를 누르면 노출되는 WING UI 화면 하단에 노출되는 사각 배너,"1. 실시간 채널 이용자에게 노출되어 실시간 타겟을 대상으로 하는 경우 용이함
2. 각 채널별 배너를 다르게 설정 가능하여, 특정 채널과 연관된 프로모션 하는 경우 추천
3. 카피 영역이 작아, 타이틀 프로모션 등에서 용이하며, [바로가기] 등 CTA 버튼을 넣는 게 유리함","1. 카피 영역이 매우 작음
2. 타겟팅 불가",1. 텍스트: 최대 5자,실시간 채널 내 WING UI,불가,5.5.2 이상,"시놉시스. TV팝업, 메뉴(1depth)"
